stratum,comparison,candidate,baseline,metric,preferred_direction,complete_pair_count,candidate_mean,baseline_mean,mean_delta_candidate_minus_baseline,median_delta_candidate_minus_baseline,std_delta,mean_paired_percent_change,favorable_count,unfavorable_count,tie_count
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,service_energy_j,lower,12,106927.52269292457,106927.52269292457,0.0,0.0,0.0,0.0,0,0,12
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,service_time_s,lower,12,111.968,111.968,1.1842378929335002e-15,7.105427357601002e-15,4.1301960550930856e-14,1.0576574493904631e-15,4,6,2
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,solver_deadline_miss_count,lower,12,0.0,0.0,0.0,0.0,0.0,,0,0,12
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,vertical_p95_error_m,lower,12,0.03931733991254793,0.33694495276442166,-0.2976276128518737,-0.3070388972119771,0.06240828314111571,-87.9731515090676,12,0,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,acceleration_max_mps2,lower,12,1.577474652742462,1.6309602261463583,-0.053485573403896224,-0.11079342023799321,0.1694375677233444,-1.8758268183777018,7,5,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,acceleration_p95_mps2,lower,12,1.074260280432272,1.0674401357316627,0.0068201447006093945,0.005559361942188423,0.02391749525501105,0.8215308675304933,5,7,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,attitude_p95_rad,lower,12,0.01718796675940777,0.03661023060643243,-0.01942226384702466,-0.020372253290928243,0.00598472962226222,-52.57117016304132,12,0,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,flight_controller_sensitive_energy_j,lower,12,696252.9557486435,721628.819434777,-25375.863686133613,-24665.797529212665,2743.349428367036,-3.5581524722909808,12,0,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,flight_time_s,lower,12,558.2333333329448,579.7842071921988,-21.550873859254008,-21.282810514157603,2.567779235928464,-3.751482130506226,12,0,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,jerk_max_mps3,lower,12,4.02710076672322,1.9020012936906454,2.125099473032575,1.664558038990246,1.2485097784167736,115.87577376040284,0,12,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,jerk_p95_mps3,lower,12,0.6196080342929079,0.5540536050967659,0.06555442919614193,0.05507485628422146,0.0622647747862416,12.509454397383639,2,10,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,minimum_per_rotor_margin_n,higher,12,8.824568325493303,12.011560044352189,-3.1869917188588865,-2.9038859715708742,1.8362514190373456,-26.718575669728164,0,12,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,position_max_m,lower,12,0.28942166992500096,0.9804616202673471,-0.6910399503423461,-0.7060874579460091,0.10268023671762345,-70.88883319080495,12,0,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,position_p95_m,lower,12,0.1827664436588045,0.773557166821662,-0.5907907231628574,-0.5901209187087677,0.07351420253807134,-76.5950848831862,12,0,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,position_rms_m,lower,12,0.11607173851444859,0.5819353724017692,-0.4658636338873206,-0.4543316891302198,0.07274559067501378,-80.16548259710625,12,0,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,robust_compensation_p95_mps2,lower,12,0.3659553969350302,0.0,0.3659553969350302,0.36359761170949156,0.07156253981970712,,0,12,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,rotor_command_total_variation_n,lower,12,3320.270052370842,454.3818781676903,2865.8881742031517,2993.2792913702297,839.2611489940989,641.9298157383754,0,12,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,service_corrected_mission_time_s,lower,12,670.2013333329447,691.7522071921989,-21.55087385925404,-21.28281051415769,2.5677792359284397,-3.1325800478005044,12,0,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,service_corrected_modeled_energy_j,lower,12,803180.4784415681,828556.3421277016,-25375.8636861336,-24665.797529212665,2743.3494283670493,-3.087492863376787,12,0,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,service_energy_j,lower,12,106927.52269292457,106927.52269292457,0.0,0.0,0.0,0.0,0,0,12
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,service_time_s,lower,12,111.968,111.968,1.1842378929335002e-15,7.105427357601002e-15,4.1301960550930856e-14,1.0576574493904631e-15,4,6,2
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,solver_deadline_miss_count,lower,12,0.0,0.0,0.0,0.0,0.0,,0,0,12
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M0_NOMINAL_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M0_NOMINAL_GEOMETRIC_TRACKING,vertical_p95_error_m,lower,12,0.03931733991254793,0.4814275513684862,-0.44211021145593826,-0.4551658331477375,0.08216148337717219,-91.6163790862916,12,0,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_M1_ROBUST_GEOMETRIC_TRACKING,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,M1_ROBUST_GEOMETRIC_TRACKING,acceleration_max_mps2,lower,12,1.577474652742462,1.7263929703563237,-0.14891831761386173,-0.2045042251147261,0.15522587654510236,-7.955501268996481,10,2,0
