stratum,mission_id,planner_id,condition,method_internal_id,runtime_method_id,public_method_name,status,task_complete,all_threshold_checks_pass,failure_identifier,failure_message,service_corrected_mission_time_s,service_corrected_modeled_energy_j,flight_time_s,service_time_s,flight_controller_sensitive_energy_j,service_energy_j,position_rms_m,position_p95_m,position_max_m,vertical_p95_error_m,attitude_p95_rad,acceleration_p95_mps2,acceleration_max_mps2,jerk_p95_mps3,jerk_max_mps3,robust_compensation_p95_mps2,rotor_command_total_variation_n,minimum_per_rotor_margin_n,solver_deadline_miss_count
controller_comparison,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,STANDARD_DISTURBANCE,M5_ENMPC_ROBUST_TRACKING_030,B1_ENMPC_TOTAL_ROBUST_TUBE_NO_GP,eNMPC with Robust Tracking Control,VALID_CASE_COMPLETE,1,0,,,595.8679999996821,703060.2204820922,483.8999999996821,111.968,597895.7818404759,105164.43864161639,0.1850315993454338,0.2706875095250141,0.3318320066057164,0.013626524612760704,0.023900721214365882,1.1405877451411204,1.7127498684078133,0.5615423738545108,4.02162366584971,0.29483769437067625,1433.931975673385,8.079346137593156,1.0
controller_comparison,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,STANDARD_DISTURBANCE,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,B2_ENMPC_GP_MEAN_TOTAL_TUBE,GP Enhanced eNMPC with Robust Tracking Control,VALID_CASE_COMPLETE,1,0,,,601.1079999996805,709597.9482928197,489.1399999996805,111.968,604433.5096512033,105164.43864161639,0.15864834861809868,0.21189780522358173,0.29355945677213674,0.033328915039485096,0.024717069192215918,1.091918217970648,1.6599460799687762,0.6533688940936362,4.861933846486981,0.2797329964941522,2246.963253181582,8.025827106664327,0.0
controller_comparison,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,STANDARD_DISTURBANCE,C0_CASCADED_PID,C0_CASCADED_PID,Cascaded PID Control,VALID_CASE_COMPLETE,1,1,,,622.3867980061933,734489.3537565918,510.4187980061933,111.96800000000002,629324.9151149754,105164.43864161639,0.3111909404633478,0.4367719977881883,0.6500608392418736,0.2670327715483438,0.030431910468438104,1.0922501569735164,1.7410529698991093,0.4853390233868529,1.6399873540936452,0.0,260.148563861529,12.074697870673337,0.0
controller_comparison,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,STANDARD_DISTURBANCE,M3_GP_ENHANCED_ROBUST_GEOMETRIC_TRACKING,GR0_GP_ROBUST_SE3,GP Enhanced Robust Geometric Tracking Control,VALID_CASE_COMPLETE,1,1,,,622.3867980061933,734542.8619652105,510.4187980061933,111.96800000000002,629378.4233235942,105164.43864161639,0.27093422080777196,0.4119780367967976,0.6865808391948813,0.08821237086620215,0.04879890056828449,1.1490900802651776,1.8087578646332145,0.6525127223268538,1.8884116944629177,0.2841310700815731,674.9480591841804,11.99326905980421,0.0
controller_comparison,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,STANDARD_DISTURBANCE,M0_NOMINAL_GEOMETRIC_TRACKING,N0_NOMINAL_SE3,Nominal Geometric Tracking Control,VALID_CASE_COMPLETE,1,1,,,622.3867980061933,734477.1162547144,510.4187980061933,111.96800000000002,629312.677613098,105164.43864161639,0.5962333894795692,0.8001884682439514,1.1328975523717448,0.3945819509914852,0.03948249809336891,1.1012026610368653,1.8250518143830825,0.4882428561800366,1.6889409619268916,0.0,225.27566909818825,12.067184919915672,0.0
controller_comparison,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,STANDARD_DISTURBANCE,M1_ROBUST_GEOMETRIC_TRACKING,R0_ROBUST_SE3,Robust Geometric Tracking Control,VALID_CASE_COMPLETE,1,1,,,622.3867980061933,734547.2354207633,510.4187980061933,111.96800000000002,629382.7967791469,105164.43864161639,0.2503563674647431,0.37751676842015675,0.6479434678344637,0.09443055790425525,0.04921609022454621,1.14272388699908,1.8683667086805738,0.6555476213967179,1.8884116944629177,0.2726041838265699,612.1684144343377,11.985747233553298,0.0
controller_comparison,MU_CAMBRIDGE_MA_01,P_ENERGY_WIND_PAYLOAD,STANDARD_DISTURBANCE,M5_ENMPC_ROBUST_TRACKING_030,B1_ENMPC_TOTAL_ROBUST_TUBE_NO_GP,eNMPC with Robust Tracking Control,VALID_CASE_COMPLETE,1,1,,,591.8279999996687,695683.4942680394,479.85999999966873,111.968,588286.8682537898,107396.62601424947,0.1822682749386174,0.28432217230792006,0.3661931123753898,0.013363657015158736,0.023003782725934303,0.872491704760502,1.2538981126691946,0.31813421165256195,1.6169029501182615,0.290483835750433,929.8836000014658,11.494625942994585,0.0
controller_comparison,MU_CAMBRIDGE_MA_01,P_ENERGY_WIND_PAYLOAD,STANDARD_DISTURBANCE,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,B2_ENMPC_GP_MEAN_TOTAL_TUBE,GP Enhanced eNMPC with Robust Tracking Control,VALID_CASE_COMPLETE,1,1,,,597.3179999996637,702676.8655332434,485.34999999966374,111.968,595280.2395189939,107396.62601424947,0.1620385251716138,0.23511604120177063,0.2594145925075157,0.02643405470069915,0.0231541187836344,0.8606444890909306,1.2766956886450838,0.3966168092729822,2.8007618090319943,0.2855608395719873,1349.290170637565,10.584404421519764,0.0
controller_comparison,MU_CAMBRIDGE_MA_01,P_ENERGY_WIND_PAYLOAD,STANDARD_DISTURBANCE,C0_CASCADED_PID,C0_CASCADED_PID,Cascaded PID Control,VALID_CASE_COMPLETE,1,1,,,618.6048230214662,727168.0440493979,506.63682302146617,111.96800000000006,619771.4180351484,107396.62601424947,0.3015786446600497,0.4158105332157552,0.47234182151898135,0.26055943478240273,0.022058481419871503,0.8236017766868137,1.2400381667598963,0.3305997693266339,1.4046912874517277,0.0,241.75786497396066,12.278238394864918,0.0
controller_comparison,MU_CAMBRIDGE_MA_01,P_ENERGY_WIND_PAYLOAD,STANDARD_DISTURBANCE,M3_GP_ENHANCED_ROBUST_GEOMETRIC_TRACKING,GR0_GP_ROBUST_SE3,GP Enhanced Robust Geometric Tracking Control,VALID_CASE_COMPLETE,1,1,,,618.6048230214662,727243.2591915602,506.63682302146617,111.96800000000006,619846.6331773107,107396.62601424947,0.25806230925548224,0.36303324416822463,0.4401512010410483,0.08219198934609473,0.03983981624259875,0.8360578295499774,1.320896044142509,0.5235951095261644,1.396821581961521,0.28343470470496196,646.4324516704646,12.118638388341253,0.0
